Python编程 ; type ; 课程
测试代码 ; 属于 ; Python编程
文件和异常 ; 属于 ; Python编程
基本数据类型 ; 属于 ; 变量和基本数据类型
while语句 ; 属于 ; 输入和while循环
while语句 ; 定义 ; 使用关键字while让循环不断地运行，直到指定的条件不满足为止
字典简介 ; 属于 ; Python编程
字典简介 ; 前驱 ; 变量和基本数据类型
变量 ; 属于 ; 变量和基本数据类型
变量 ; 定义 ; 变量是存储在内存中的值
变量 ; 基本用法 ; 变量在使用前都必须赋值，变量赋值以后该变量才会被创建；在程序中可随时修改变量的值，Python将始终记录变量的最新值
变量 ; 命名规则 ; 变量名只能包含字母、数字和下划线，且不能以数字打头；变量名不能包含空格，可使用下划线来分隔其中的单词；不能将Python关键字和函数名用作变量名；变量名应既简短又具有描述性；慎用小写字母l和大写字母O
单元测试 ; 属于 ; 测试函数
单元测试 ; 定义 ; 用户核实函数的某个方面没有问题
列表简介 ; 属于 ; Python编程
列表简介 ; 前驱 ; 变量和基本数据类型
列表 ; 访问 ; 要访问列表元素，可指出列表的名称，再指出元素的索引，并将其放在方括号内
列表 ; 获取长度 ; 方法len() 可快速获得列表的长度
列表 ; 添加 ; 方法insert() 可在列表的任何位置添加新元素，需要指定新元素的索引和值；方法append() 将元素添加到列表末尾，而不影响列表中的其他所有元素
列表 ; 排序 ; 方法sort() 可以对列表进行永久性排序；方法sorted() 可以对列表进行临时排序
列表 ; 属于 ; 列表简介
列表 ; 定义 ; 由一系列按特定顺序排列的元素组成的集合
列表 ; 基本用法 ; 用方括号( [] )来表示列表，并用逗号来分隔其中的元素
列表 ; 反转 ; 方法reverse()可以反转列表元素的排列顺序
列表 ; 删除 ; 使用del可删除任何位置处的列表元素，条件是知道其索引；方法pop() 可删除列表中任何位置的元素，只需在括号中指定要删除的元素的索引；方法remove() 删除第一个指定的值；方法pop() 可删除列表末尾的元素并获得
列表 ; 修改 ; 要修改列表元素，可指定列表名和要修改的元素的索引，再指定该元素的新值
输入 ; 属于 ; 输入和while循环
输入 ; 基本用法 ; 方法input() 接受一个参数：即要向用户显示的提示或说明，并获取用户输入
语法错误 ; 相关 ; 变量
语法错误 ; 定义 ; 一种时不时会遇到的错误。程序中包含非法的Python代码时，就会导致语法错误
索引错误 ; 相关 ; 列表
索引错误 ; 定义 ; 使用列表时，会遇到一种错误，即Python无法理解指定的索引
类型错误 ; 相关 ; 数字
类型错误 ; 定义 ; Python无法识别使用的信息
简单的if结构 ; 属于 ; if语句
简单的if结构 ; 定义 ; 最简单的if 语句只有一个测试和一个操作
空白 ; 定义 ; 空白泛指任何非打印字符，如空格、制表符和换行符
相等运算符 ; 定义 ; 即两个等号( == )
浮点数 ; 属于 ; 数字
浮点数 ; 定义 ; 带小数点的数字
浮点数 ; 基本用法 ; 使用关键字float
测试类 ; 属于 ; 测试代码
测试用例 ; 相关 ; 单元测试
测试用例 ; 属于 ; 测试函数
测试用例 ; 定义 ; 是一组单元测试，这些单元测试一起核实函数在各种情形下的行为都符合要求
注释 ; 属于 ; 变量和基本数据类型
注释 ; 定义 ; 使用自然语言在程序中添加说明
注释 ; 基本用法 ; 用井号( # )标识，井号后面的内容都会被Python解释器忽略
求模运算符 ; 定义 ; 即 ( % )，将两个数相除并返回余数
比较数字 ; 属于 ; 条件测试
检查特定值是否包含在列表中 ; 属于 ; 条件测试
检查特定值是否包含在列表中 ; 基本用法 ; 使用关键字in判断特定的值是否已包含在列表中
检查特定值是否不包含在列表中 ; 属于 ; 条件测试
检查特定值是否不包含在列表中 ; 基本用法 ; 使用关键字not in确定特定的值未包含在列表中
检查是否相等 ; 属于 ; 条件测试
检查是否相等 ; 基本用法 ; 使用相等运算符检查在它两边的值，相等返回True，否则返回False
检查是否不相等 ; 属于 ; 条件测试
检查是否不相等 ; 基本用法 ; 使用不相等运算符检查在它两边的值，不相等返回True，否则返回False
检查多个条件 ; 属于 ; 条件测试
检查多个条件 ; 基本用法 ; 使用关键字and检查多个条件，要求所有多个条件都为True才返回True；使用关键字or检查多个条件，要求至少一个条件为True才返回True
方法 ; 定义 ; 可对数据执行的操作
文件 ; 属于 ; 文件和异常
整数 ; 属于 ; 数字
整数 ; 定义 ; 是正或负整数，不带小数点
整数 ; 基本用法 ; 使用关键字int；可对整数执行加( + )减( - )乘( * )除( / )运算
异常 ; 属于 ; 文件和异常
异常 ; 定义 ; 管理程序执行期间发生的错误的特殊对象
布尔表达式 ; 同义 ; 条件测试
嵌套 ; 定义 ; 将一系列字典存储在列表中，或将列表作为值存储在字典中
字符串 ; 添加空白 ; 使用字符组合\\t添加制表符；使用字符组合\\n 添加换行符
字符串 ; 属于 ; 基本数据类型
字符串 ; 定义 ; 字符串就是一系列字符。在Python中，用引号括起的都是字符串，其中的引号可以是单引号，也可以是双引号
字符串 ; 合并字符串 ; 使用加号(+)来合并字符串
字符串 ; 删除空白 ; 方法strip()删除字符串两端的空白；方法lstrip()删除字符串开头的空白；方法rstrip()删除字符串末尾的空白
字符串 ; 修改 ; 方法title()将字符串中的每个单词的首字母都改为大写；方法upper()将字符串改为全部大写；方法lower()将字符串改为全部小写
字典嵌套 ; 属于 ; 字典
字典嵌套 ; 定义 ; 在字典中存储一系列字典
字典列表 ; 属于 ; 字典
字典列表 ; 定义 ; 将一系列字典存储在列表中
列表字典 ; 属于 ; 字典
列表字典 ; 定义 ; 将一系列列表存储在字典中
全覆盖测试 ; 属于 ; 测试函数
全覆盖测试 ; 定义 ; 包含一整套单元测试，涵盖了各种可能的函数使用方式
不相等运算符 ; 定义 ; 即使用惊叹号和等号( != )
if-else结构 ; 属于 ; if语句
if-else结构 ; 定义 ; if-else结构类似于简单的if语句，但在指定条件测试未通过时会执行else语句
if-elif-else结构 ; 属于 ; if语句
if-elif-else结构 ; 定义 ; 依次执行并检查if-elif-else结构中的条件测试，直到通过条件测试，会跳过余下的测试
continue语句 ; 相关 ; while语句
continue语句 ; 定义 ; 让程序返回到循环开头，并根据条件测试结果决定是否继续执行循环
break语句 ; 相关 ; while语句
break语句 ; 定义 ; 用于控制程序流程，可使用它来退出循环，让程序按照要求执行
